timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Tropical SST,Local SST,Local Month Mean
1983-09-20 12:00:00,1983-N-11,WP,1983.0,11.0,10.3,144.1,30.0,150.0,3.47125,75.0,27.097513,29.341187,29.293165
1983-02-11 12:00:00,1983-S-12,SP,1983.0,12.0,-10.6,157.7,20.0,100.0,4.102,25.0,28.115385,29.155394,29.489458
1983-09-28 00:00:00,1983-N-12,WP,1983.0,12.0,17.2,118.0,25.0,55.0,0.27825,30.0,27.097513,29.879128,28.945305
1983-02-20 12:00:00,1983-S-13,SP,1983.0,13.0,-12.8,217.3,25.0,100.0,1.54844,27.0,28.115385,29.490572,28.674799
1983-10-06 12:00:00,1983-N-13,WP,1983.0,13.0,10.8,115.6,25.0,50.0,0.182,15.0,27.074478,28.493837,28.767351
1983-02-22 18:00:00,1983-S-14,SP,1983.0,14.0,-14.5,179.2,25.0,100.0,1.68825,15.0,28.115385,28.649933,29.091173
1983-10-06 12:00:00,1983-N-14,WP,1983.0,14.0,17.0,146.4,20.0,65.0,0.46025,20.0,27.074478,29.189653,29.15128
1983-02-25 00:00:00,1983-S-15,SP,1983.0,15.0,-11.1,192.6,20.0,41.0,0.1959,8.0,28.115385,29.040728,29.12761
1983-10-08 06:00:00,1983-N-15,WP,1983.0,15.0,8.8,134.1,20.0,65.0,0.36475,15.0,27.074478,28.883823,29.209547
1983-02-27 12:00:00,1983-S-16,SI,1983.0,16.0,-13.3,126.7,25.0,55.0,0.37925,10.0,28.115385,30.463957,29.518347
1983-03-07 00:00:00,1983-S-17,SP,1983.0,17.0,-11.3,212.6,30.0,90.0,1.68449,20.0,28.37962,28.316006,29.076357
1983-10-22 00:00:00,1983-N-17,WP,1983.0,17.0,16.1,116.8,30.0,70.0,0.53775,15.0,27.074478,28.965487,28.490906
1983-03-22 18:00:00,1983-S-18,SP,1983.0,18.0,-11.2,180.3,25.0,90.0,1.023,25.0,28.37962,29.019081,29.363958
1983-10-30 12:00:00,1983-N-18,WP,1983.0,18.0,6.3,149.5,25.0,145.0,2.728,50.0,27.074478,29.146069,29.487154
1983-03-27 00:00:00,1983-S-19,SP,1983.0,19.0,-7.7,203.8,25.0,102.0,1.1944,31.0,28.37962,28.388046,28.924057
1983-11-08 00:00:00,1983-N-19,WP,1983.0,19.0,16.8,156.5,30.0,50.0,0.182,15.0,27.142187,28.609015,28.506182
1983-04-03 06:00:00,1983-S-20,SI,1983.0,20.0,-11.6,120.0,20.0,60.0,0.369,20.0,28.641123,29.4309,29.274418
1983-11-14 12:00:00,1983-N-20,WP,1983.0,20.0,13.8,147.2,20.0,125.0,2.525,15.0,27.142187,28.936142,28.939985
1983-04-07 00:00:00,1983-S-21,SP,1983.0,21.0,-10.3,224.4,25.0,100.0,1.51148,28.0,28.641123,28.853794,28.345726
1983-11-17 00:00:00,1983-N-21,WP,1983.0,21.0,10.5,110.8,15.0,70.0,0.53325,25.0,27.142187,27.61671,27.79483
1983-04-15 12:00:00,1983-S-22,SP,1983.0,22.0,-10.0,228.6,30.0,76.0,0.99638,14.0,28.641123,28.964088,28.050673
1983-11-21 06:00:00,1983-N-22,WP,1983.0,22.0,7.5,145.3,25.0,60.0,0.40275,35.0,27.142187,29.018963,29.413225
1983-04-19 12:00:00,1983-S-23,SI,1983.0,23.0,-11.8,80.4,20.0,60.0,0.811,15.0,28.641123,28.064932,28.348482
1983-04-23 18:00:00,1983-S-24,SI,1983.0,24.0,-10.3,101.7,25.0,55.0,0.34175,15.0,28.641123,29.909758,28.896563
1983-12-14 12:00:00,1983-N-24,WP,1983.0,24.0,8.6,142.8,20.0,55.0,0.2035,15.0,27.160498,29.092083,28.89767
1984-06-07 18:00:00,1984-N-1,WP,1984.0,1.0,11.9,114.8,20.0,40.0,0.13375,10.0,27.347645,28.872185,29.398079
1984-06-18 06:00:00,1984-N-2,WP,1984.0,2.0,20.5,135.1,20.0,60.0,0.652,10.0,27.347645,28.504522,29.221722
1984-07-01 00:00:00,1984-N-3,WP,1984.0,3.0,16.1,124.5,30.0,75.0,0.48325,20.0,27.012272,29.18233,29.483892
1984-07-04 18:00:00,1984-N-4,WP,1984.0,4.0,14.7,126.3,25.0,55.0,0.27225,15.0,27.012272,29.139172,29.429144
1983-11-20 06:00:00,1984-S-5,SI,1984.0,5.0,-8.1,72.9,20.0,45.0,0.27475,10.0,27.142187,27.954456,28.178694
1984-07-05 06:00:00,1984-N-5,WP,1984.0,5.0,16.5,152.8,20.0,90.0,1.2325,30.0,27.012272,28.998028,29.203707
1983-11-27 00:00:00,1984-S-6,SI,1984.0,6.0,-11.7,113.3,25.0,70.0,0.3625,15.0,27.142187,28.294327,28.14098
1984-07-21 18:00:00,1984-N-6,WP,1984.0,6.0,21.0,162.2,20.0,125.0,2.10925,35.0,27.012272,28.451895,28.675451
